PMID,Title,Abstract,Journal,Year,Authors,
31892549,"SAHA and EGCG Promote Apoptosis in Triple-negative Breast Cancer Cells, Possibly Through the Modulation of cIAP2.","BACKGROUND/AIM: Inhibition of apoptosis is one of the hallmarks of cancer, and anti-apoptotic genes are often targets of genetic and epigenetic alterations. Cellular inhibitor of apoptosis 2 (cIAP2) has a role in degrading caspases by linking them to ubiquitin molecules, and is upregulated in triple-negative breast cancer (TNBC). Previous studies have demonstrated that cIAP2 may play a role in the epithelial-to-mesenchymal transition (EMT).
MATERIALS AND METHODS: Suberoylanilide hydroxamic acid (SAHA), a histone deacetylase (HDAC) inhibitor, was administered to triple-negative breast cancer (TNBC) cells alone or in combination with epigallocatechin-3-gallate (EGCG), a DNA methyltransferase (DNMT) inhibitor isolated from green tea.
RESULTS: The compounds were able to decrease the expression of cIAP2 while increasing the expression of pro-apoptotic caspase 7. There were also changes in histone modifications, suggesting a role of epigenetic mechanisms in these changes in expression of cIAP2. These changes resulted in an increase in apoptosis. SAHA and EGCG were also capable of limiting TNBC cell migration across a fibronectin (FN) matrix.
CONCLUSION: SAHA and EGCG reduce the metastatic potential of TNBC by inducing the apoptotic pathway.",Anticancer Res.,2020,"['Steed KL', 'Jordan HR', 'Tollefsbol TO']",
31795548,[Targeted-knockdown of Yes-associated protein inhibits the Warburg effect and the invasion of laryngeal cancer cells].,,Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,2019,"['Tang XM', 'Sun YX', 'Li WJ', 'Chen H', 'Wan GL', 'Sun JQ', 'Pan CC', 'Sun JW']",
31778776,"Benzo(a)pyrene regulated A549 cell migration, invasion and epithelial-mesenchymal transition by up-regulating long non-coding RNA linc00673.","As a major toxicant which is abundant in tobacco smoking, benzo(a)pyrene (BaP) is considered as a strong carcinogen of lung cancer. In spite of the intensive research, the role that BaP plays in lung cancer still lacks a comprehensive and precise understanding. Recently, a long non-coding RNA, linc00673, has emerged as a central player in different kinds of malignancies, including non-small cell lung cancer (NSCLC). In the present study, we found that BaP with the concentration of no more than 8 μM did not affect cell proliferation in the NSCLC cell line A549, while it significantly enhanced A549 cell migration and invasion. Further results revealed that BaP promoted mesenchymal biomarkers expression and inhibited the major epithelial biomarker E-cadherin in a time and dose dependent manner, which indicated epithelial-mesenchymal transition (EMT) was induced by BaP in A549 cells. Through quantitative real-time PCR, we observed that BaP significantly elevated the expression level of linc00673. While after the knockdown of aryl hydrocarbon receptor (AHR), the up-regulating effect of BaP on linc00673 was reversed. Furthermore, silencing linc00673 significantly suppressed the BaP-induced migration, invasion, and EMT in A549 cells. In summary, our study demonstrates that BaP promotes A549 cell migration, invasion and EMT through up-regulating the expression of linc00673 in an AHR-dependent manner.",Toxicol. Lett.,2020,"['Wu Y', 'Niu Y', 'Leng J', 'Xu J', 'Chen H', 'Li H', 'Wang L', 'Hu J', 'Xia D', 'Wu Y']",
31769973,6-C-(E-Phenylethenyl)Naringenin Attenuates the Stemness of Hepatocellular Carcinoma Cells by Suppressing Wnt/β-Catenin Signaling.,"The effect of a novel semi-natural derivative of naringenin, 6-C-(E-phenylethenyl)naringenin (6-CEPN) on hepatocellular carcinoma (HCC) stemness was evaluated both in vitro and in vivo. 6-CEPN reduced HCC cell viability, inhibited sphere formation, cell migration and invasion, and blocked epithelial-mesenchymal transition. It was equally effective against NANOG+ cells sorted from cultured HCC cells that was accompanied by downregulation of stemness-associated transcription factors and attenuated HIF-1 activity. Furthermore, 6-CEPN significantly enhanced the sensitivity of HCC cells to therapeutic drugs, and inhibited HCC tumor growth and lung metastasis of HCC cells. 6-CEPN suppressed Wnt/β-catenin signaling by inducing β-catenin degradation and inhibiting its nuclear translocation. Upregulation of GSK3β appeared to be crucial for 6-CEPN's inhibitory activity in the signaling pathway. These findings indicate that 6-CEPN has a strong effect against liver cancer, which is mediated, at least in part, by suppressing the stemness of HCC cells through an action mechanism involving Wnt/β-catenin signaling.",J. Agric. Food Chem.,2019,"['Kang Q', 'Gong J', 'Wang M', 'Wang Q', 'Chen F', 'Cheng KW']",
31753509,Long non-coding RNA H19 and cancer: A competing endogenous RNA.,"Long non-coding RNA (lncRNA) is a class of non-coding RNA with a length of more than 200 nucleotides, which has become a hotspot in the research of tumorigenesis and development in recent years. Accumulating studies have indicated that H19 is abnormally expressed in human malignant tumors, and regulates cell proliferation, migration, invasion, anti-apoptosis and epithelial-mesenchymal transition through various mechanisms, thus playing a carcinogenic or anti-cancer role. H19 has been found to act as a microRNA sponge to indirectly regulate the expression of microRNA downstream target genes thus mediating cancer progression in several cancer types. Even in the same cancer, H19 also sponges various microRNAs to mediate diverse regulatory mechanisms. Tissue-specific expression of H19 suggests that it may be an early diagnostic marker or prognostic indicator of cancers. In this review, we summarize the latest original researches, mainly focusing on the role of H19 sponging microRNAs in cancers. We hope this article can facilitate readers obtain the molecular mechanisms of H19 sponging miRNAs in cancers and provide a broad perspective for further research on cancer diagnosis and therapy.",Bull Cancer,2019,"['Ye Y', 'Shen A', 'Liu A']",
31732667,Combined mTORC1/mTORC2 inhibition blocks growth and induces catastrophic macropinocytosis in cancer cells.,"The mammalian target of rapamycin (mTOR) pathway, which plays a critical role in regulating cellular growth and metabolism, is aberrantly regulated in the pathogenesis of a variety of neoplasms. Here we demonstrate that dual mTORC1/mTORC2 inhibitors OSI-027 and PP242 cause catastrophic macropinocytosis in rhabdomyosarcoma (RMS) cells and cancers of the skin, breast, lung, and cervix, whereas the effects are much less pronounced in immortalized human keratinocytes. Using RMS as a model, we characterize in detail the mechanism of macropinocytosis induction. Macropinosomes are distinct from endocytic vesicles and autophagosomes in that they are single-membrane bound vacuoles formed by projection, ruffling, and contraction of plasma membranes. They are positive for EEA-1 and LAMP-1 and contain watery fluid but not organelles. The vacuoles then merge and rupture, killing the cells. We confirmed the inhibition of mTORC1/mTORC2 as the underpinning mechanism for macropinocytosis. Exposure to rapamycin, an mTORC1 inhibitor, or mTORC2 knockdown alone had little or reduced effect relative to the combination. We further demonstrate that macropinocytosis depends on MKK4 activated by elevated reactive oxygen species. In a murine xenograft model, OSI-027 reduced RMS tumor growth. Molecular characterization of the residual tumors was consistent with the induction of macropinocytosis. Furthermore, relative to the control xenograft tumors, the residual tumors manifested reduced expression of cell proliferation markers and proteins that drive the epithelial mesenchymal transition. These data indicate a role of mTORC2 in regulating tumor growth by macropinocytosis and suggest that dual inhibitors could help block refractory or recurrent RMS and perhaps other neoplasms and other cancer as well.",Proc. Natl. Acad. Sci. U.S.A.,2019,"['Srivastava RK', 'Li C', 'Khan J', 'Banerjee NS', 'Chow LT', 'Athar M']",
31729097,"Calcitriol inhibits migration and invasion of renal cell carcinoma cells by suppressing Smad2/3-, STAT3- and β-catenin-mediated epithelial-mesenchymal transition.","Low vitamin D status is associated with progression in patients with renal cell carcinoma (RCC). The present study found that vimentin, a mesenchymal marker, was accordingly upregulated, and E-cadherin, an epithelial marker, was downregulated in RCC patients with low vitamin D status. Thus, we investigated the effects of calcitriol or vitamin D3, an active form of vitamin D, on epithelial-mesenchymal transition (EMT) in RCC cells. RCC cells were treated by two models. In model 1, three RCC cell lines, ACHN, 786-O and CAKI-2, were incubated with either LPS (2.0 μg/mL) or transforming growth factor (TGF)-β1 (10 ng/mL) in the presence or absence of calcitriol (200 nmol/L). In model 2, two RCC cell lines, ACHN and CAKI-2, were incubated with calcitriol (200 nmol/L) only. Calcitriol inhibited migration and invasion not only in TGF-β1-stimulated but also in TGF-β1-unstimulated RCC cells. Moreover, calcitriol suppressed E-cadherin downregulation and vimentin upregulation not only in TGF-β1-stimulated but also in TGF-β1-unstimulated ACHN and CAKI-2 cells. Calcitriol attenuated LPS-induced upregulation of MMP-2, MMP-7, MMP-9, MMP-26 and urokinase-type plasminogen activator (u-PA) in ACHN cells. In addition, calcitriol blocked TGF-β1-induced nuclear translocation of ZEB1, Snail and Twist1 in ACHN and CAKI-2 cells. Mechanistically, calcitriol suppressed EMT through different signaling pathways: (i) calcitriol suppressed Smad2/3 phosphorylation by reinforcing physical interaction between vitamin D receptor (VDR) and Smad3 in TGF-β1-stimulated RCC cells; (ii) calcitriol inhibited signal transducer and activator of transcription (STAT)3 activation in LPS-stimulated RCC cells; (iii) calcitriol inhibited β-catenin/TCF-4 activation by promoting integration of VDR with β-catenin in TGF-β1-unstimulated RCC cells. Taken together, calcitriol inhibits migration and invasion of RCC cells partially by suppressing Smad2/3-, STAT3- and β-catenin-mediated EMT.",Cancer Sci.,2020,"['Xu S', 'Zhang ZH', 'Fu L', 'Song J', 'Xie DD', 'Yu DX', 'Xu DX', 'Sun GP']",
31715665,[Knockdown of mediator complex subunit 19 suppresses the migration and invasion and epithelial-mesenchymal transition in prostate cancer PC3 cells].,,Zhonghua Yi Xue Za Zhi,2019,"['Zhang YL', 'Wang P', 'Zhang Y', 'Yu SS', 'Xu YK']",
31715081,Circulating extracellular vesicle-encapsulated HULC is a potential biomarker for human pancreatic cancer.,"The role of long noncoding RNAs (lncRNAs) in the epithelial-mesenchymal transition (EMT) in pancreatic ductal adenocarcinoma (PDAC) is unclear. Some lncRNAs can be transferred by extracellular vesicles (EVs) and have potential as biomarkers. Here, we identify an lncRNA that could serve as a biomarker for PDAC and show the functional roles of the lncRNA. Expression profiling of lncRNAs revealed that highly upregulated in liver cancer (HULC) was highly expressed, and induced, by transforming growth factor-β in PDAC cells and their EVs. Knockdown of HULC decreased PDAC cell invasion and migration by inhibiting the EMT. Thus, HULC could be transferred by EVs, and promote EMT, invasion, and migration in recipient PDAC cells. To assess the roles of HULC, PDAC cell xenografts in nude mice were established. Knockdown of HULC in PDAC cells implanted in mice inhibited tumor growth. Moreover, microRNA-133b suppressed PDAC cell invasion and migration by inhibiting the EMT through targeting HULC. Furthermore, serum samples were obtained from 20 PDAC and 22 intraductal papillary mucinous neoplasm (IPMN) patients, as well as 21 healthy individuals. Analysis of serum EV HULC expression by digital PCR showed that HULC expression was significantly increased in PDAC patients compared to healthy individuals or IPMN patients. Additionally, HULC showed good predictive performance for discriminating PDAC, suggesting that the analysis of EV-encapsulated HULC would contribute to the diagnosis for human PDAC. Extracellular vesicle-transported HULC promotes cell invasion and migration by inducing the EMT, and microRNA-133b suppresses the EMT by targeting HULC. Extracellular vesicle-encapsulated HULC could be a potential circulating biomarker for human PDAC.",Cancer Sci.,2020,"['Takahashi K', 'Ota Y', 'Kogure T', 'Suzuki Y', 'Iwamoto H', 'Yamakita K', 'Kitano Y', 'Fujii S', 'Haneda M', 'Patel T', 'Ota T']",
31704861,Twist and Snail/Slug Expression in Oropharyngeal Squamous Cell Carcinoma in Correlation With Lymph Node Metastasis.,"BACKGROUND/AIM: Oropharyngeal squamous cell carcinoma (OPSCC) could be clinically undetectable despite the relatively large size of lymph node metastases. Here, we aimed to elucidate the correlation of p16 expression with epithelial-to-mesenchymal transition (EMT) markers.
PATIENTS AND METHODS: Radically resected 121 OPSCC and 270 non-OPSCC tissue samples were included in the analysis, and p16, Twist, and Snail/Slug immunohistochemistry was performed.
RESULTS: Compared to non-OPSCCs, OPSCCs were significantly associated with lymphovascular invasion, lymph node metastasis, larger maximal diameter of metastatic foci in the lymph nodes, and p16 expression. In addition, p16 expression correlated with high Twist and Snail/Slug expression.
CONCLUSION: Expression of EMT markers, such as Twist and Snail/Slug, is related to p16 expression in OPSCC. This might indicate that HPV infection in OPSCCs alters the expression of EMT markers and results in metastases.",Anticancer Res.,2019,"['Cho YA', 'Kim EK', 'Cho BC', 'Koh YW', 'Yoon SO']",
