PMID,Title,Abstract,Journal,Year,Authors
31877331,Epigenetic sensitization of pregnane X receptor-regulated gene expression by dimethyl sulfoxide.,"Prior exposures to chemicals/agents may alter epigenome in such a way that subsequent exposure to the same or different xenobiotic would produce different responses. Understanding the mechanism for this ""priming"" effect is of clinical significance in avoiding adverse drug-drug interactions. Here we reported a dramatic priming effect of dimethyl sulfoxide (DMSO) on pregnane X receptor (PXR)-mediated gene regulations and analyzed the underpinning epigenetic mechanism. We showed that DMSO (1.25-2.5 %) pretreatment has a profound effect in enhancing the expression of PXR target genes. This priming effect persisted up to 48 h. Mechanistically, DMSO pretreatment reduced H4K12 acetylation and therefore enhanced the subsequent rifampicin stimulated histone H4R3 methylation on the regulatory region of PXR target gene CYP3A4. We showed that protein arginine methyltransferase 1 (PRMT1), which methylates H4R3, was important for priming by DMSO. Inhibition of methyltransferase by the pharmacological inhibitor adenosine dialehyde (AdoX), or RNAi knockdown of PRMT1, abolished the DMSO priming effects. On the other hand, Trichostation A (TSA) pretreatment, which increases histone acetylation and therefore suppresses H4R3 methylation, also abolished the DMSO priming effects. Based on the above observation, we proposed a model of sequential order of histone methylation and acetylation on the transcription ""relay"".",Toxicol. Lett.,2020,"['Xie Y', 'Ke S', 'Chen J', 'Ouyang N', 'Tian Y']"
31784732,Histone hyperacetylation disrupts core gene regulatory architecture in rhabdomyosarcoma.,"Core regulatory transcription factors (CR TFs) orchestrate the placement of super-enhancers (SEs) to activate transcription of cell-identity specifying gene networks, and are critical in promoting cancer. Here, we define the core regulatory circuitry of rhabdomyosarcoma and identify critical CR TF dependencies. These CR TFs build SEs that have the highest levels of histone acetylation, yet paradoxically the same SEs also harbor the greatest amounts of histone deacetylases. We find that hyperacetylation selectively halts CR TF transcription. To investigate the architectural determinants of this phenotype, we used absolute quantification of architecture (AQuA) HiChIP, which revealed erosion of native SE contacts, and aberrant spreading of contacts that involved histone acetylation. Hyperacetylation removes RNA polymerase II (RNA Pol II) from core regulatory genetic elements, and eliminates RNA Pol II but not BRD4 phase condensates. This study identifies an SE-specific requirement for balancing histone modification states to maintain SE architecture and CR TF transcription.",Nat. Genet.,2019,"['Gryder BE', 'Pomella S', 'Sayers C', 'Wu XS', 'Song Y', 'Chiarella AM', 'Bagchi S', 'Chou HC', 'Sinniah RS', 'Walton A', 'Wen X', 'Rota R', 'Hathaway NA', 'Zhao K', 'Chen J', 'Vakoc CR', 'Shern JF', 'Stanton BZ', 'Khan J']"
31653482,Genome-wide Analyses of Chromatin State in Human Mast Cells Reveal Molecular Drivers and Mediators of Allergic and Inflammatory Diseases.,"Mast cells (MCs) are versatile immune cells capable of rapidly responding to a diverse range of extracellular cues. Here, we mapped the genomic and transcriptomic changes in human MCs upon diverse stimuli. Our analyses revealed broad H3K4me3 domains and enhancers associated with activation. Notably, the rise of intracellular calcium concentration upon immunoglobulin E (IgE)-mediated crosslinking of the high-affinity IgE receptor (FcεRI) resulted in genome-wide reorganization of the chromatin landscape and was associated with a specific chromatin signature, which we term Ca",Immunity,2019,"['Cildir G', 'Toubia J', 'Yip KH', 'Zhou M', 'Pant H', 'Hissaria P', 'Zhang J', 'Hong W', 'Robinson N', 'Grimbaldeston MA', 'Lopez AF', 'Tergaonkar V']"
31645732,Metabolic regulation of gene expression by histone lactylation.,"The Warburg effect, which originally described increased production of lactate in cancer, is associated with diverse cellular processes such as angiogenesis, hypoxia, polarization of macrophages and activation of T cells. This phenomenon is intimately linked to several diseases including neoplasia, sepsis and autoimmune diseases",Nature,2019,"['Zhang D', 'Tang Z', 'Huang H', 'Zhou G', 'Cui C', 'Weng Y', 'Liu W', 'Kim S', 'Lee S', 'Perez-Neut M', 'Ding J', 'Czyz D', 'Hu R', 'Ye Z', 'He M', 'Zheng YG', 'Shuman HA', 'Dai L', 'Ren B', 'Roeder RG', 'Becker L', 'Zhao Y']"
31580889,"Side-chain oxysterols suppress the transcription of CTP: Phosphoethanolamine cytidylyltransferase and 3-hydroxy-3-methylglutaryl-CoA reductase by inhibiting the interaction of p300 and NF-Y, and H3K27 acetylation.","CTP: phosphoethanolamine cytidylyltransferase (Pcyt2) is the rate-limiting enzyme in mammalian phosphatidylethanolamine (PE) biosynthesis. Previously, we reported that increasedPcyt2 mRNA levels after serum starvation are suppressed by 25-hydroxycholesterol (HC) (25-HC), and that nuclear factor-Y (NF-Y) is involved in the inhibitory effects. Transcription of Hmgcr, which encodes 3-hydroxy-3-methylglutaryl-CoA reductase, is suppressed in the same manner. However, no typical sterol regulatory element (SRE) was detected in the Pcyt2 promoter. We were therefore interested in the effect of 25-HC on the modification of histones and thus treated cells with histone acetyltransferase inhibitor (anacardic acid) or histone deacetylase inhibitor (trichostatin A). The suppressive effect of 25-HC on Pcyt2 and Hmgcr mRNA transcription was ameliorated by trichostatin A. Anacardic acid, 25-HC and 24(S)-HC suppressed their transcription by inhibiting H3K27 acetylation in their promoters as evaluated by chromatin immunoprecipitation (ChIP) assays. 27-HC, 22(S)-HC and 22(R)-HC also suppressed their transcription, but 7α-HC, 7β-HC, the synthetic LXR agonist T0901317 and cholesterol did not. Furthermore, 25-HC inhibited p300 recruitment to the Pcyt2 and Hmgcr promoters, and suppressed H3K27 acetylation. 25-HC in the medium was easily conducted into cells. Based on these results, we concluded that 25-HC (and other side-chain oxysterols) in the medium was easily transferred into cells, suppressed H3K27 acetylation via p300 recruitment on the NF-Y complex in the Pcyt2 and Hmgcr promoters, and then suppressed transcription of these genes although LXR is not involved.",J. Steroid Biochem. Mol. Biol.,2019,"['Ando H', 'Horibata Y', 'Aoyama C', 'Shimizu H', 'Shinohara Y', 'Yamashita S', 'Sugimoto H']"
31551414,Identification of the PTEN-ARID4B-PI3K pathway reveals the dependency on ARID4B by PTEN-deficient prostate cancer.,"PTEN is frequently mutated in prostate cancer. The tumor suppressor function of PTEN is attributed to its lipid phosphatase activity that counters PI3K action. Here, we report a PTEN-ARID4B-PI3K axis in which PTEN inhibits expression of ARID4B, while ARID4B is a transcriptional activator of the PI3K subunit genes PIK3CA and PIK3R2 that are crucial for activation of the PI3K/AKT pathway. Reciprocal binding of ARID4B and histone H1 to the PIK3CA and PIK3R2 promoters modulates chromatin condensation, suggesting a mechanism by which ARID4B activates these promoters. Functional analyses reveals that ARID4B is required for prostate tumorigenesis when PTEN is deficient. The biological significance is further substantiated by the existence of a PTEN/ARID4B/PIK3CA three-gene signature that improves the predictive power for prostate cancer recurrence in patients. In summary, we identify ARID4B as a master regulator in the PTEN-PI3K pathway, thus providing a potential therapeutic target for prostate cancer carrying PTEN mutations.",Nat Commun,2019,"['Wu RC', 'Young IC', 'Chen YF', 'Chuang ST', 'Toubaji A', 'Wu MY']"
31550663,A drug repurposing screening reveals a novel epigenetic activity of hydroxychloroquine.,"Multiple myeloma (MM) is an incurable hematological malignancy driven by several genetic and epigenetic alterations. The hyperactivation of the Polycomb repressive complex 2 (PRC2), a multi-subunit oncogenic histone methyltransferase, has been implicated in the pathogenesis of this malignancy. Upon protein-protein interaction (PPI) between the catalytic subunit EZH2 and EED, PRC2 primarily methylates lysine 27 of histone H3 (H3K27me3), thus modulating the chromatin structure and inducing transcriptional repression. Herein, we highlight a new mechanism of action that can contribute to explain the anti-tumor activity of hydroxychloroquine (HCQ), an anti-malaric agent also known as autophagy inhibitor. By structural studies, we demonstrate that HCQ inhibits the allosteric binding of PRC2 to EED within the H3K27me3-binding pocket, thus antagonizing the PRC2 catalytic activity. In silico results are compatible with the significant reduction of the H3K27me3 levels in MM cells exerted by HCQ. Overall, these findings disclose a novel epigenetic activity of HCQ with potential implications for its clinical repositioning.",Eur J Med Chem,2019,"['Catalano R', 'Rocca R', 'Juli G', 'Costa G', 'Maruca A', 'Artese A', 'Caracciolo D', 'Tagliaferri P', 'Alcaro S', 'Tassone P', 'Amodio N']"
31537782,TRIM66 reads unmodified H3R2K4 and H3K56ac to respond to DNA damage in embryonic stem cells.,"Recognition of specific chromatin modifications by distinct structural domains within ""reader"" proteins plays a critical role in the maintenance of genomic stability. However, the specific mechanisms involved in this process remain unclear. Here we report that the PHD-Bromo tandem domain of tripartite motif-containing 66 (TRIM66) recognizes the unmodified H3R2-H3K4 and acetylated H3K56. The aberrant deletion of Trim66 results in severe DNA damage and genomic instability in embryonic stem cells (ESCs). Moreover, we find that the recognition of histone modification by TRIM66 is critical for DNA damage repair (DDR) in ESCs. TRIM66 recruits Sirt6 to deacetylate H3K56ac, negatively regulating the level of H3K56ac and facilitating the initiation of DDR. Importantly, Trim66-deficient blastocysts also exhibit higher levels of H3K56ac and DNA damage. Collectively, the present findings indicate the vital role of TRIM66 in DDR in ESCs, establishing the relationship between histone readers and maintenance of genomic stability.",Nat Commun,2019,"['Chen J', 'Wang Z', 'Guo X', 'Li F', 'Wei Q', 'Chen X', 'Gong D', 'Xu Y', 'Chen W', 'Liu Y', 'Kang J', 'Shi Y']"
31515493,Nuclear decoupling is part of a rapid protein-level cellular response to high-intensity mechanical loading.,"Studies of cellular mechano-signaling have often utilized static models that do not fully replicate the dynamics of living tissues. Here, we examine the time-dependent response of primary human mesenchymal stem cells (hMSCs) to cyclic tensile strain (CTS). At low-intensity strain (1 h, 4% CTS at 1 Hz), cell characteristics mimic responses to increased substrate stiffness. As the strain regime is intensified (frequency increased to 5 Hz), we characterize rapid establishment of a broad, structured and reversible protein-level response, even as transcription is apparently downregulated. Protein abundance is quantified coincident with changes to protein conformation and post-translational modification (PTM). Furthermore, we characterize changes to the linker of nucleoskeleton and cytoskeleton (LINC) complex that bridges the nuclear envelope, and specifically to levels and PTMs of Sad1/UNC-84 (SUN) domain-containing protein 2 (SUN2). The result of this regulation is to decouple mechano-transmission between the cytoskeleton and the nucleus, thus conferring protection to chromatin.",Nat Commun,2019,"['Gilbert HTJ', 'Mallikarjun V', 'Dobre O', 'Jackson MR', 'Pedley R', 'Gilmore AP', 'Richardson SM', 'Swift J']"
31488577,Automethylation of PRC2 promotes H3K27 methylation and is impaired in H3K27M pediatric glioma.,"The histone methyltransferase activity of PRC2 is central to the formation of H3K27me3-decorated facultative heterochromatin and gene silencing. In addition, PRC2 has been shown to automethylate its core subunits, EZH1/EZH2 and SUZ12. Here, we identify the lysine residues at which EZH1/EZH2 are automethylated with EZH2-K510 and EZH2-K514 being the major such sites in vivo. Automethylated EZH2/PRC2 exhibits a higher level of histone methyltransferase activity and is required for attaining proper cellular levels of H3K27me3. While occurring independently of PRC2 recruitment to chromatin, automethylation promotes PRC2 accessibility to the histone H3 tail. Intriguingly, EZH2 automethylation is significantly reduced in diffuse intrinsic pontine glioma (DIPG) cells that carry a lysine-to-methionine substitution in histone H3 (H3K27M), but not in cells that carry either EZH2 or EED mutants that abrogate PRC2 allosteric activation, indicating that H3K27M impairs the intrinsic activity of PRC2. Our study demonstrates a PRC2 self-regulatory mechanism through its EZH1/2-mediated automethylation activity.",Genes Dev.,2019,"['Lee CH', 'Yu JR', 'Granat J', 'Saldaña-Meyer R', 'Andrade J', 'LeRoy G', 'Jin Y', 'Lund P', 'Stafford JM', 'Garcia BA', 'Ueberheide B', 'Reinberg D']"
